accountId,bank,accountType,balance,latitude,longitude
acc001,BankK,PERSONAL,56057,55.75,37.62
acc002,BankD,MERCHANT,48472,55.75,37.62
acc003,BankW,BUSINESS,58080,48.85,2.35
acc004,BankX,PREPAID,81728,28.61,77.2
acc005,BankY,MERCHANT,61931,37.77,-122.42
acc006,BankX,PREPAID,43245,51.51,-0.13
acc007,BankC,PREPAID,60087,51.51,-0.13
acc008,BankY,MERCHANT,75691,-6.21,106.85
acc009,BankV,MERCHANT,45092,40.71,-74.01
acc010,BankP,PREPAID,24834,55.75,37.62
acc011,BankG,PREPAID,34862,52.52,13.4
acc012,BankI,PREPAID,73848,40.71,-74.01
acc013,BankQ,BUSINESS,12221,51.51,-0.13
acc014,BankX,MERCHANT,65038,28.61,77.2
acc015,BankY,BUSINESS,91519,55.75,37.62
acc016,BankU,MERCHANT,59743,40.71,-74.01
acc017,BankC,PREPAID,30045,37.77,-122.42
acc018,BankW,BUSINESS,41135,-6.21,106.85
acc019,BankL,MERCHANT,73544,28.61,77.2
acc020,BankL,MERCHANT,98771,28.61,77.2
acc021,BankK,PREPAID,93124,55.75,37.62
acc022,BankI,PREPAID,33951,51.51,-0.13
acc023,BankD,BUSINESS,42359,34.05,-118.24
acc024,BankX,BUSINESS,26105,51.51,-0.13
acc025,BankX,MERCHANT,37241,-6.21,106.85
acc026,BankY,PREPAID,14176,51.51,-0.13
acc027,BankJ,BUSINESS,48301,48.85,2.35
acc028,BankJ,PERSONAL,93801,28.61,77.2
acc029,BankE,PREPAID,6965,40.71,-74.01
acc030,BankR,PREPAID,92411,48.85,2.35
acc031,BankU,MERCHANT,14446,40.71,-74.01
acc032,BankS,PREPAID,62524,55.75,37.62
acc033,BankO,PREPAID,25164,40.71,-74.01
acc034,BankI,MERCHANT,15953,34.05,-118.24
acc035,BankM,MERCHANT,10710,-6.21,106.85
acc036,BankU,PERSONAL,20887,48.85,2.35
acc037,BankZ,PREPAID,12164,51.51,-0.13
acc038,BankD,MERCHANT,80471,-6.21,106.85
acc039,BankZ,BUSINESS,69494,37.77,-122.42
acc040,BankO,MERCHANT,39974,-6.21,106.85
acc041,BankN,PREPAID,75531,-6.21,106.85
acc042,BankB,PERSONAL,28235,51.51,-0.13
acc043,BankI,PERSONAL,21585,51.51,-0.13
acc044,BankF,PERSONAL,21517,40.71,-74.01
acc045,BankN,MERCHANT,91357,-6.21,106.85
acc046,BankP,PREPAID,5278,51.51,-0.13
acc047,BankJ,PREPAID,93141,55.75,37.62
acc048,BankC,BUSINESS,35675,-6.21,106.85
acc049,BankV,BUSINESS,56723,34.05,-118.24
acc050,BankR,BUSINESS,85886,48.85,2.35
acc051,BankI,BUSINESS,10359,40.71,-74.01
acc052,BankF,PREPAID,78993,-6.21,106.85
