accountId,bank,accountType,balance,latitude,longitude
acc001,BankD,BUSINESS,98057,51.51,-0.13
acc002,BankQ,BUSINESS,73339,48.85,2.35
acc003,BankK,MERCHANT,61562,51.51,-0.13
acc004,BankZ,MERCHANT,83543,48.85,2.35
acc005,BankF,MERCHANT,52849,40.71,-74.01
acc006,BankX,BUSINESS,59926,-6.21,106.85
acc007,BankN,MERCHANT,1583,51.51,-0.13
acc008,BankG,PREPAID,99608,34.05,-118.24
acc009,BankS,PERSONAL,71371,48.85,2.35
acc010,BankL,PREPAID,26830,55.75,37.62
acc011,BankD,PREPAID,88910,55.75,37.62
acc012,BankQ,PREPAID,79246,37.77,-122.42
acc013,BankT,MERCHANT,77939,34.05,-118.24
acc014,BankL,PREPAID,61012,-6.21,106.85
acc015,BankF,PREPAID,81541,-6.21,106.85
acc016,BankC,BUSINESS,42049,34.05,-118.24
acc017,BankH,PREPAID,16328,48.85,2.35
acc018,BankL,BUSINESS,67954,37.77,-122.42
acc019,BankN,BUSINESS,76340,37.77,-122.42
acc020,BankN,BUSINESS,64788,28.61,77.2
acc021,BankW,BUSINESS,73733,48.85,2.35
acc022,BankP,PREPAID,19388,48.85,2.35
acc023,BankK,MERCHANT,82187,40.71,-74.01
acc024,BankL,PERSONAL,64518,48.85,2.35
acc025,BankG,MERCHANT,74607,28.61,77.2
acc026,BankU,MERCHANT,54626,55.75,37.62
acc027,BankN,MERCHANT,65054,48.85,2.35
acc028,BankC,PERSONAL,29905,35.68,139.69
acc029,BankB,PREPAID,30470,28.61,77.2
acc030,BankJ,BUSINESS,60942,-6.21,106.85
acc031,BankX,MERCHANT,73053,28.61,77.2
acc032,BankD,PERSONAL,36112,28.61,77.2
acc033,BankL,PERSONAL,95238,55.75,37.62
acc034,BankR,BUSINESS,56725,34.05,-118.24
acc035,BankX,BUSINESS,40021,40.71,-74.01
acc036,BankO,PREPAID,46688,34.05,-118.24
acc037,BankO,PERSONAL,32056,51.51,-0.13
acc038,BankZ,PREPAID,94159,-6.21,106.85
acc039,BankU,MERCHANT,22755,-6.21,106.85
acc040,BankE,BUSINESS,28124,40.71,-74.01
acc041,BankS,PREPAID,70767,35.68,139.69
acc042,BankT,BUSINESS,43421,35.68,139.69
acc043,BankJ,PREPAID,68425,34.05,-118.24
acc044,BankE,MERCHANT,8770,35.68,139.69
acc045,BankU,BUSINESS,92937,48.85,2.35
acc046,BankH,BUSINESS,94243,52.52,13.4
acc047,BankH,MERCHANT,65154,48.85,2.35
acc048,BankS,PREPAID,83288,37.77,-122.42
acc049,BankM,MERCHANT,10898,34.05,-118.24
acc050,BankM,PREPAID,92056,52.52,13.4
acc051,BankO,MERCHANT,43898,-6.21,106.85
acc052,BankA,PERSONAL,96804,55.75,37.62
acc053,BankU,PREPAID,9300,28.61,77.2
acc054,BankM,BUSINESS,57314,51.51,-0.13
acc055,BankP,PREPAID,43318,35.68,139.69
