transactionId,fromAccountId,toAccountId,amount,timestamp,fromLatitude,fromLongitude,toLatitude,toLongitude
tx001,acc004,acc002,12000,2025-06-15T10:00:00,51.51,-0.13,34.05,-118.24
tx002,acc005,acc006,2000,2025-06-15T09:00:00,40.71,-74.01,40.71,-74.01
tx003,acc006,acc007,3000,2025-06-15T09:05:00,40.71,-74.01,40.71,-74.01
tx004,acc007,acc005,2500,2025-06-15T09:10:00,40.71,-74.01,40.71,-74.01
tx005,acc008,acc009,500,2025-06-15T12:00:00,35.68,139.69,52.52,13.4
tx006,acc008,acc010,600,2025-06-15T12:01:00,35.68,139.69,37.77,-122.42
tx007,acc008,acc003,700,2025-06-15T12:02:00,35.68,139.69,48.85,2.35
tx008,acc001,acc010,900,2025-06-15T14:00:00,40.71,-74.01,37.77,-122.42
tx009,acc003,acc002,850,2025-06-15T15:00:00,48.85,2.35,34.05,-118.24
tx010,acc009,acc001,200,2025-06-15T16:00:00,52.52,13.4,40.71,-74.01
