accountId,bank,accountType,balance,latitude,longitude
acc001,BankN,BUSINESS,37509,55.75,37.62
acc002,BankH,PERSONAL,59082,28.61,77.2
acc003,BankD,PERSONAL,86477,28.61,77.2
acc004,BankA,PERSONAL,99771,51.51,-0.13
acc005,BankF,MERCHANT,64653,55.75,37.62
acc006,BankG,MERCHANT,8685,48.85,2.35
acc007,BankM,PERSONAL,52173,35.68,139.69
acc008,BankZ,MERCHANT,38388,37.77,-122.42
acc009,BankW,MERCHANT,21289,51.51,-0.13
acc010,BankJ,BUSINESS,8665,-6.21,106.85
acc011,BankX,PERSONAL,99038,52.52,13.4
acc012,BankB,PERSONAL,77569,55.75,37.62
acc013,BankQ,BUSINESS,8455,28.61,77.2
acc014,BankC,BUSINESS,9981,-6.21,106.85
acc015,BankC,BUSINESS,53923,34.05,-118.24
acc016,BankS,BUSINESS,76880,-6.21,106.85
acc017,BankB,PERSONAL,55948,-6.21,106.85
acc018,BankS,PREPAID,35179,51.51,-0.13
acc019,BankV,PREPAID,32285,35.68,139.69
acc020,BankM,BUSINESS,89039,35.68,139.69
acc021,BankO,PREPAID,99548,34.05,-118.24
acc022,BankA,MERCHANT,82416,-6.21,106.85
acc023,BankD,PERSONAL,71468,51.51,-0.13
acc024,BankQ,PREPAID,18361,52.52,13.4
acc025,BankC,BUSINESS,49434,35.68,139.69
acc026,BankF,MERCHANT,72200,35.68,139.69
acc027,BankT,PERSONAL,88538,28.61,77.2
acc028,BankJ,PERSONAL,18601,35.68,139.69
acc029,BankD,PERSONAL,98310,28.61,77.2
acc030,BankE,PREPAID,37930,-6.21,106.85
acc031,BankG,PREPAID,27685,35.68,139.69
acc032,BankQ,MERCHANT,33914,40.71,-74.01
acc033,BankC,MERCHANT,37265,40.71,-74.01
acc034,BankA,PREPAID,18146,35.68,139.69
acc035,BankF,MERCHANT,73309,37.77,-122.42
acc036,BankR,PERSONAL,15663,34.05,-118.24
acc037,BankW,BUSINESS,72511,40.71,-74.01
acc038,BankL,BUSINESS,57333,48.85,2.35
acc039,BankB,PREPAID,48795,40.71,-74.01
acc040,BankL,BUSINESS,90399,51.51,-0.13
acc041,BankV,PERSONAL,47357,28.61,77.2
acc042,BankN,BUSINESS,32029,48.85,2.35
acc043,BankZ,BUSINESS,55040,40.71,-74.01
acc044,BankF,PREPAID,54964,51.51,-0.13
acc045,BankI,BUSINESS,92917,34.05,-118.24
acc046,BankM,PERSONAL,62694,51.51,-0.13
acc047,BankG,MERCHANT,46830,35.68,139.69
acc048,BankZ,BUSINESS,30219,40.71,-74.01
acc049,BankV,BUSINESS,53227,52.52,13.4
acc050,BankI,PERSONAL,37585,52.52,13.4
acc051,BankU,MERCHANT,90065,28.61,77.2
acc052,BankK,PERSONAL,16118,35.68,139.69
acc053,BankF,PREPAID,6014,34.05,-118.24
acc054,BankT,MERCHANT,46309,52.52,13.4
acc055,BankN,PERSONAL,51488,-6.21,106.85
acc056,BankG,PREPAID,6817,37.77,-122.42
acc057,BankA,BUSINESS,48739,37.77,-122.42
acc058,BankC,PREPAID,82678,52.52,13.4
acc059,BankV,PERSONAL,95339,35.68,139.69
acc060,BankQ,PREPAID,88410,37.77,-122.42
acc061,BankK,MERCHANT,92384,35.68,139.69
acc062,BankR,BUSINESS,26144,37.77,-122.42
acc063,BankV,MERCHANT,89777,48.85,2.35
acc064,BankT,PREPAID,54225,28.61,77.2
acc065,BankA,PREPAID,38606,51.51,-0.13
acc066,BankN,PREPAID,61946,55.75,37.62
acc067,BankO,BUSINESS,68000,55.75,37.62
acc068,BankZ,BUSINESS,87356,34.05,-118.24
acc069,BankJ,PREPAID,13240,51.51,-0.13
acc070,BankV,PREPAID,30444,51.51,-0.13
acc071,BankE,PERSONAL,7057,51.51,-0.13
acc072,BankP,PERSONAL,60692,37.77,-122.42
acc073,BankU,BUSINESS,95155,37.77,-122.42
acc074,BankP,MERCHANT,32979,48.85,2.35
acc075,BankU,PERSONAL,99430,34.05,-118.24
acc076,BankY,MERCHANT,29683,48.85,2.35
acc077,BankZ,MERCHANT,7582,28.61,77.2
acc078,BankH,PERSONAL,60829,48.85,2.35
acc079,BankZ,MERCHANT,88500,28.61,77.2
acc080,BankR,PREPAID,99992,55.75,37.62
acc081,BankT,MERCHANT,72810,55.75,37.62
acc082,BankF,MERCHANT,59991,35.68,139.69
acc083,BankY,BUSINESS,84579,35.68,139.69
acc084,BankY,MERCHANT,83149,51.51,-0.13
acc085,BankI,MERCHANT,11155,35.68,139.69
acc086,BankH,PREPAID,45020,52.52,13.4
acc087,BankR,PERSONAL,19136,48.85,2.35
acc088,BankH,MERCHANT,91957,48.85,2.35
acc089,BankW,BUSINESS,9418,37.77,-122.42
acc090,BankN,PREPAID,72121,55.75,37.62
acc091,BankN,PERSONAL,28110,37.77,-122.42
acc092,BankM,PERSONAL,76456,37.77,-122.42
acc093,BankP,PERSONAL,47105,35.68,139.69
acc094,BankY,MERCHANT,55921,28.61,77.2
acc095,BankX,BUSINESS,64993,51.51,-0.13
acc096,BankI,MERCHANT,64654,40.71,-74.01
acc097,BankM,PREPAID,88670,37.77,-122.42
acc098,BankX,BUSINESS,62261,48.85,2.35
acc099,BankT,PERSONAL,52645,-6.21,106.85
acc100,BankS,PERSONAL,12003,37.77,-122.42
