transactionId,fromAccountId,toAccountId,amount,timestamp,fromLatitude,fromLongitude,toLatitude,toLongitude
tx001,acc264,acc789,3235,2025-06-15T09:12:00,48.85,2.35,48.85,2.35
tx002,acc341,acc062,3709,2025-06-15T09:02:00,35.68,139.69,35.68,139.69
tx003,acc341,acc979,1743,2025-06-15T09:19:00,35.68,139.69,35.68,139.69
tx004,acc062,acc979,1561,2025-06-15T09:20:00,35.68,139.69,35.68,139.69
tx005,acc062,acc979,988,2025-06-15T09:04:00,35.68,139.69,35.68,139.69
tx006,acc265,acc979,1889,2025-06-15T09:19:00,35.68,139.69,35.68,139.69
tx007,acc265,acc341,3717,2025-06-15T09:22:00,35.68,139.69,35.68,139.69
tx008,acc979,acc265,946,2025-06-15T09:01:00,35.68,139.69,35.68,139.69
tx009,acc979,acc341,676,2025-06-15T09:18:00,35.68,139.69,35.68,139.69
tx010,acc746,acc257,107,2025-06-15T09:29:00,55.75,37.62,55.75,37.62
tx011,acc257,acc746,3298,2025-06-15T09:08:00,55.75,37.62,55.75,37.62
tx012,acc796,acc257,2801,2025-06-15T09:28:00,55.75,37.62,55.75,37.62
tx013,acc004,acc963,3672,2025-06-15T09:12:00,55.75,37.62,55.75,37.62
tx014,acc528,acc790,1950,2025-06-15T09:00:00,55.75,37.62,55.75,37.62
tx015,acc528,acc963,4049,2025-06-15T09:03:00,55.75,37.62,55.75,37.62
tx016,acc725,acc790,4485,2025-06-15T09:29:00,55.75,37.62,55.75,37.62
tx017,acc963,acc725,2580,2025-06-15T09:12:00,55.75,37.62,55.75,37.62
tx018,acc963,acc004,842,2025-06-15T09:11:00,55.75,37.62,55.75,37.62
tx019,acc790,acc725,759,2025-06-15T09:26:00,55.75,37.62,55.75,37.62
tx020,acc471,acc664,422,2025-06-15T09:30:00,48.85,2.35,48.85,2.35
tx021,acc779,acc297,1664,2025-06-15T09:09:00,48.85,2.35,48.85,2.35
tx022,acc785,acc208,3295,2025-06-15T09:28:00,48.85,2.35,48.85,2.35
tx023,acc297,acc471,3043,2025-06-15T09:15:00,48.85,2.35,48.85,2.35
tx024,acc664,acc471,3687,2025-06-15T09:23:00,48.85,2.35,48.85,2.35
tx025,acc208,acc779,1246,2025-06-15T09:01:00,48.85,2.35,48.85,2.35
tx026,acc198,acc026,4957,2025-06-15T12:00:00,51.51,-0.13,55.75,37.62
tx027,acc198,acc399,616,2025-06-15T12:01:00,28.61,77.2,35.68,139.69
tx028,acc512,acc547,3780,2025-06-15T12:00:00,40.71,-74.01,40.71,-74.01
tx029,acc512,acc348,559,2025-06-15T12:01:00,52.52,13.4,40.71,-74.01
tx030,acc416,acc122,1834,2025-06-15T12:00:00,28.61,77.2,55.75,37.62
tx031,acc416,acc963,4495,2025-06-15T12:01:00,48.85,2.35,-6.21,106.85
tx032,acc239,acc948,690,2025-06-15T12:00:00,40.71,-74.01,48.85,2.35
tx033,acc239,acc501,256,2025-06-15T12:01:00,55.75,37.62,-6.21,106.85
tx034,acc047,acc249,1169,2025-06-15T12:00:00,40.71,-74.01,48.85,2.35
tx035,acc047,acc648,509,2025-06-15T12:01:00,35.68,139.69,34.05,-118.24
tx036,acc468,acc626,1498,2025-06-15T12:00:00,-6.21,106.85,34.05,-118.24
tx037,acc468,acc838,971,2025-06-15T12:01:00,34.05,-118.24,55.75,37.62
tx038,acc610,acc819,1906,2025-06-15T12:00:00,34.05,-118.24,51.51,-0.13
tx039,acc610,acc437,2863,2025-06-15T12:01:00,37.77,-122.42,52.52,13.4
tx040,acc124,acc1000,4818,2025-06-15T12:00:00,28.61,77.2,48.85,2.35
tx041,acc124,acc330,1846,2025-06-15T12:01:00,40.71,-74.01,-6.21,106.85
tx042,acc178,acc344,617,2025-06-15T12:00:00,34.05,-118.24,35.68,139.69
tx043,acc178,acc145,3500,2025-06-15T12:01:00,48.85,2.35,52.52,13.4
tx044,acc567,acc169,3693,2025-06-15T12:00:00,51.51,-0.13,-6.21,106.85
tx045,acc567,acc042,1192,2025-06-15T12:01:00,34.05,-118.24,-6.21,106.85
tx046,acc386,acc797,1392,2025-06-15T12:00:00,40.71,-74.01,55.75,37.62
tx047,acc386,acc083,152,2025-06-15T12:01:00,40.71,-74.01,48.85,2.35
tx048,acc949,acc092,4963,2025-06-15T12:00:00,35.68,139.69,37.77,-122.42
tx049,acc949,acc711,3999,2025-06-15T12:01:00,48.85,2.35,51.51,-0.13
tx050,acc147,acc656,2319,2025-06-15T12:00:00,28.61,77.2,55.75,37.62
tx051,acc147,acc422,2059,2025-06-15T12:01:00,48.85,2.35,-6.21,106.85
tx052,acc709,acc039,4984,2025-06-15T12:00:00,48.85,2.35,55.75,37.62
tx053,acc709,acc627,821,2025-06-15T12:01:00,35.68,139.69,52.52,13.4
tx054,acc429,acc005,4668,2025-06-15T12:00:00,51.51,-0.13,51.51,-0.13
tx055,acc429,acc121,4443,2025-06-15T12:01:00,34.05,-118.24,-6.21,106.85
tx056,acc371,acc884,4521,2025-06-15T12:00:00,28.61,77.2,51.51,-0.13
tx057,acc371,acc476,1804,2025-06-15T12:01:00,35.68,139.69,40.71,-74.01
tx058,acc199,acc116,1322,2025-06-15T12:00:00,55.75,37.62,55.75,37.62
tx059,acc199,acc181,1408,2025-06-15T12:01:00,40.71,-74.01,40.71,-74.01
tx060,acc661,acc373,2435,2025-06-15T12:00:00,51.51,-0.13,37.77,-122.42
tx061,acc661,acc258,2838,2025-06-15T12:01:00,-6.21,106.85,55.75,37.62
tx062,acc045,acc107,529,2025-06-15T12:00:00,28.61,77.2,48.85,2.35
tx063,acc045,acc162,338,2025-06-15T12:01:00,55.75,37.62,28.61,77.2
tx064,acc119,acc073,2027,2025-06-15T12:00:00,55.75,37.62,-6.21,106.85
tx065,acc119,acc594,2770,2025-06-15T12:01:00,37.77,-122.42,51.51,-0.13
tx066,acc766,acc694,433,2025-06-15T08:00:00,48.86,2.35,40.71,-74.01
tx067,acc766,acc236,897,2025-06-15T09:00:00,40.71,-74.01,48.86,2.35
tx068,acc113,acc334,333,2025-06-15T08:00:00,48.86,2.35,40.71,-74.01
tx069,acc113,acc101,342,2025-06-15T09:00:00,40.71,-74.01,48.86,2.35
tx070,acc756,acc423,990,2025-06-15T08:00:00,48.86,2.35,40.71,-74.01
tx071,acc756,acc205,484,2025-06-15T09:00:00,40.71,-74.01,48.86,2.35
tx072,acc913,acc226,175,2025-06-15T08:00:00,48.86,2.35,40.71,-74.01
tx073,acc913,acc483,699,2025-06-15T09:00:00,40.71,-74.01,48.86,2.35
tx074,acc497,acc056,546,2025-06-15T08:00:00,48.86,2.35,40.71,-74.01
tx075,acc497,acc149,321,2025-06-15T09:00:00,40.71,-74.01,48.86,2.35
tx076,acc951,acc625,565,2025-06-15T08:00:00,48.86,2.35,40.71,-74.01
tx077,acc951,acc183,496,2025-06-15T09:00:00,40.71,-74.01,48.86,2.35
tx078,acc383,acc140,568,2025-06-15T08:00:00,48.86,2.35,40.71,-74.01
tx079,acc383,acc738,298,2025-06-15T09:00:00,40.71,-74.01,48.86,2.35
tx080,acc648,acc368,376,2025-06-15T08:00:00,48.86,2.35,40.71,-74.01
tx081,acc648,acc208,443,2025-06-15T09:00:00,40.71,-74.01,48.86,2.35
tx082,acc131,acc033,808,2025-06-15T08:00:00,48.86,2.35,40.71,-74.01
tx083,acc131,acc583,161,2025-06-15T09:00:00,40.71,-74.01,48.86,2.35
tx084,acc288,acc140,213,2025-06-15T08:00:00,48.86,2.35,40.71,-74.01
tx085,acc288,acc873,576,2025-06-15T09:00:00,40.71,-74.01,48.86,2.35
tx086,acc470,acc226,100003426,2025-06-15T12:00:00,-6.21,106.85,52.52,13.4
tx087,acc908,acc928,502418,2025-06-15T12:00:00,35.68,139.69,-6.21,106.85
tx088,acc175,acc089,14736,2025-06-15T18:00:00,-6.21,106.85,51.51,-0.13
tx089,acc422,acc606,14275,2025-06-15T17:00:00,-6.21,106.85,51.51,-0.13
tx090,acc485,acc748,100003790,2025-06-15T14:00:00,-6.21,106.85,40.71,-74.01
tx091,acc439,acc445,12021,2025-06-15T13:00:00,34.05,-118.24,52.52,13.4
tx092,acc594,acc920,2822,2025-06-15T12:00:00,-6.21,106.85,-6.21,106.85
tx093,acc006,acc482,503423,2025-06-15T10:00:00,-6.21,106.85,40.71,-74.01
tx094,acc752,acc544,5131,2025-06-15T10:00:00,51.51,-0.13,37.77,-122.42
tx095,acc404,acc508,13927,2025-06-15T11:00:00,48.85,2.35,55.75,37.62
tx096,acc247,acc710,100000680,2025-06-15T18:00:00,-6.21,106.85,40.71,-74.01
tx097,acc750,acc368,100003331,2025-06-15T13:00:00,-6.21,106.85,48.85,2.35
tx098,acc303,acc492,501959,2025-06-15T11:00:00,52.52,13.4,40.71,-74.01
tx099,acc686,acc879,502498,2025-06-15T12:00:00,28.61,77.2,55.75,37.62
tx100,acc585,acc475,5782,2025-06-15T10:00:00,51.51,-0.13,55.75,37.62
tx101,acc791,acc809,2136,2025-06-15T16:00:00,35.68,139.69,48.85,2.35
tx102,acc893,acc882,503035,2025-06-15T17:00:00,35.68,139.69,40.71,-74.01
tx103,acc643,acc544,500580,2025-06-15T16:00:00,37.77,-122.42,52.52,13.4
tx104,acc034,acc715,502430,2025-06-15T16:00:00,34.05,-118.24,35.68,139.69
tx105,acc969,acc636,5444,2025-06-15T13:00:00,35.68,139.69,34.05,-118.24
tx106,acc902,acc969,100002750,2025-06-15T10:00:00,-6.21,106.85,28.61,77.2
tx107,acc932,acc393,3982,2025-06-15T10:00:00,52.52,13.4,34.05,-118.24
tx108,acc375,acc376,503813,2025-06-15T10:00:00,52.52,13.4,52.52,13.4
tx109,acc180,acc727,504578,2025-06-15T11:00:00,28.61,77.2,28.61,77.2
tx110,acc793,acc245,11678,2025-06-15T12:00:00,-6.21,106.85,52.52,13.4
tx111,acc553,acc893,10931,2025-06-15T17:00:00,28.61,77.2,-6.21,106.85
tx112,acc983,acc362,11719,2025-06-15T13:00:00,55.75,37.62,52.52,13.4
tx113,acc920,acc284,3191,2025-06-15T18:00:00,51.51,-0.13,37.77,-122.42
tx114,acc056,acc464,500520,2025-06-15T15:00:00,55.75,37.62,52.52,13.4
tx115,acc498,acc482,504108,2025-06-15T18:00:00,37.77,-122.42,34.05,-118.24
tx116,acc727,acc463,5358,2025-06-15T18:00:00,51.51,-0.13,35.68,139.69
tx117,acc636,acc914,4016,2025-06-15T11:00:00,40.71,-74.01,51.51,-0.13
tx118,acc906,acc401,100003750,2025-06-15T11:00:00,55.75,37.62,34.05,-118.24
tx119,acc920,acc112,2465,2025-06-15T14:00:00,51.51,-0.13,34.05,-118.24
tx120,acc169,acc509,3261,2025-06-15T11:00:00,35.68,139.69,48.85,2.35
tx121,acc155,acc301,2674,2025-06-15T18:00:00,40.71,-74.01,40.71,-74.01
tx122,acc427,acc356,100004435,2025-06-15T12:00:00,52.52,13.4,55.75,37.62
tx123,acc431,acc194,4637,2025-06-15T10:00:00,51.51,-0.13,35.68,139.69
tx124,acc065,acc661,500181,2025-06-15T13:00:00,34.05,-118.24,28.61,77.2
tx125,acc344,acc498,100003372,2025-06-15T15:00:00,34.05,-118.24,52.52,13.4
tx126,acc608,acc469,5344,2025-06-15T18:00:00,40.71,-74.01,55.75,37.62
tx127,acc312,acc176,504647,2025-06-15T12:00:00,52.52,13.4,35.68,139.69
tx128,acc809,acc381,100002129,2025-06-15T13:00:00,40.71,-74.01,55.75,37.62
tx129,acc995,acc362,12361,2025-06-15T10:00:00,34.05,-118.24,48.85,2.35
tx130,acc292,acc947,4735,2025-06-15T12:00:00,28.61,77.2,-6.21,106.85
tx131,acc165,acc997,14386,2025-06-15T14:00:00,37.77,-122.42,48.85,2.35
tx132,acc180,acc120,501258,2025-06-15T12:00:00,28.61,77.2,51.51,-0.13
tx133,acc043,acc267,3594,2025-06-15T12:00:00,34.05,-118.24,55.75,37.62
tx134,acc379,acc725,2512,2025-06-15T13:00:00,28.61,77.2,28.61,77.2
tx135,acc036,acc382,3597,2025-06-15T15:00:00,34.05,-118.24,48.85,2.35
tx136,acc460,acc309,5423,2025-06-15T12:00:00,52.52,13.4,28.61,77.2
tx137,acc125,acc787,100000204,2025-06-15T16:00:00,28.61,77.2,55.75,37.62
tx138,acc149,acc005,4753,2025-06-15T15:00:00,48.85,2.35,48.85,2.35
tx139,acc994,acc663,5475,2025-06-15T18:00:00,51.51,-0.13,52.52,13.4
tx140,acc723,acc993,502422,2025-06-15T17:00:00,52.52,13.4,35.68,139.69
tx141,acc967,acc747,5700,2025-06-15T12:00:00,34.05,-118.24,-6.21,106.85
tx142,acc929,acc750,4622,2025-06-15T15:00:00,-6.21,106.85,34.05,-118.24
tx143,acc491,acc120,500329,2025-06-15T12:00:00,55.75,37.62,28.61,77.2
tx144,acc316,acc862,100000203,2025-06-15T16:00:00,-6.21,106.85,-6.21,106.85
tx145,acc226,acc335,100003653,2025-06-15T15:00:00,35.68,139.69,34.05,-118.24
